hostname, timestamp, tempeture, humidity
MSI,1722227554.574518,23,27
MSI,1722227555.574699,30,23
MSI,1722227556.575414,26,29
MSI,1722227557.576099,26,23
MSI,1722227558.57672,24,20
MSI,1722227559.577129,27,32
MSI,1722227560.577704,31,33
MSI,1722227561.578149,23,20
MSI,1722227562.578417,23,26
MSI,1722227563.578873,33,25
MSI,1722227564.579601,26,29
MSI,1722227565.579906,29,24
MSI,1722227566.580543,24,23
MSI,1722227567.580865,26,32
MSI,1722227568.581484,34,23
MSI,1722227569.581894,21,24
MSI,1722227570.58224,27,33
MSI,1722227571.582574,24,27
MSI,1722227572.582741,31,22
MSI,1722227573.583487,34,24
Wtks220217,1722227646.668732,24,27
Wtks220217,1722227647.672483,30,30
Wtks220217,1722227648.672834,21,23
Wtks220217,1722227649.673506,27,31
Wtks220217,1722227650.674285,30,28
Wtks220217,1722227651.674644,20,26
Wtks220217,1722227652.675138,29,21
Wtks220217,1722227653.675467,29,32
Wtks220217,1722227654.676146,30,33
Wtks220217,1722227655.676496,25,24
Wtks220217,1722227656.676673,23,24
Wtks220217,1722227657.677045,34,32
Wtks220217,1722227658.677372,26,31
Wtks220217,1722227659.677828,32,28
Wtks220217,1722227660.678306,21,20
Wtks220217,1722227661.679156,24,27
Wtks220217,1722227662.679626,23,22
Wtks220217,1722227663.680444,28,28
Wtks220217,1722227664.6808,28,23
Wtks220217,1722227665.681204,28,31
Wtks220217,1722227666.682079,31,34
worker1,1722227575.646883,32,29
worker1,1722227576.648072,21,30
worker1,1722227577.649216,28,28
worker1,1722227578.65036,27,30
worker1,1722227579.651521,30,29
worker1,1722227580.652735,28,28
worker1,1722227581.653898,33,33
worker1,1722227582.6548,29,27
worker1,1722227583.655948,31,20
worker1,1722227584.657093,33,24
worker1,1722227585.658246,22,23
worker1,1722227586.659456,23,23
worker1,1722227587.660625,22,34
worker1,1722227588.661777,32,25
worker1,1722227589.662927,20,22
worker1,1722227590.664179,32,28
worker1,1722227591.665433,24,21
worker1,1722227592.666577,21,29
worker1,1722227593.667765,26,23
worker1,1722227594.668909,28,34
worker1,1722227595.670053,27,21
MSI,1722227584.695785,20,32
MSI,1722227585.696756,31,26
MSI,1722227586.697268,26,31
MSI,1722227587.69771,32,31
MSI,1722227588.697975,34,31
MSI,1722227589.698656,23,32
MSI,1722227590.698947,21,31
MSI,1722227591.699649,28,20
MSI,1722227592.700279,25,28
MSI,1722227593.700731,31,24
MSI,1722227594.70116,29,29
MSI,1722227595.701439,27,34
MSI,1722227596.701886,30,26
MSI,1722227597.702162,27,34
MSI,1722227598.702534,24,23
MSI,1722227599.703101,22,31
MSI,1722227600.70359,28,27
MSI,1722227601.704029,29,29
MSI,1722227602.704677,22,29
MSI,1722227603.705308,29,26
MSI,1722227604.705836,23,20
worker1,1722227596.798271,27,25
worker1,1722227597.798801,31,27
worker1,1722227598.79995,27,22
worker1,1722227599.801111,22,22
worker1,1722227600.802261,22,32
worker1,1722227601.803409,26,26
worker1,1722227602.804585,22,30
worker1,1722227603.805747,20,24
worker1,1722227604.806925,21,28
worker1,1722227605.808079,30,34
worker1,1722227606.809229,27,21
worker1,1722227607.810379,23,33
worker1,1722227608.810841,29,20
worker1,1722227609.812,20,30
worker1,1722227610.813145,23,27
worker1,1722227611.814293,21,26
worker1,1722227612.815442,27,28
worker1,1722227613.816598,27,31
worker1,1722227614.817744,26,32
worker1,1722227615.818887,27,25
worker1,1722227616.820036,30,29
